Name,Age,Team,Pos,G,Tck,Solo,Asst,TFL,Sack,PBU,INT,INT TD,FF,FR,FRTD
Jack Gibbens,26,TEN,LB,10,44,22,22,2,0.5,0,0,0,0,0,0
Jalen Mills,30,NYJ,S,9,44,17,27,1,0.0,6,1,0,1,0,0
Nnamdi Madubuike,27,BAL,DT,17,43,21,22,11,6.5,1,0,0,1,0,0
Jaylen McCollough,24,LAR,DB,17,43,26,17,0,0.0,4,4,1,0,0,0
Malcolm Roach,26,DEN,DT,17,43,18,25,5,2.5,2,0,0,1,1,0
Micah Parsons,25,DAL,LLB,13,43,30,13,12,12.0,1,0,0,2,0,0
Khalen Saunders,28,NOR,LDT,13,43,18,25,3,2.0,3,1,0,0,0,0
Malcolm Rodriguez,25,DET,RLB,10,43,27,16,2,2.0,1,0,0,0,1,0
Leonard Floyd,32,SFO,RDE,17,42,25,17,8,8.5,1,0,0,1,0,0
D.J. Jones,29,DEN,NT,17,42,21,21,1,1.0,3,0,0,0,1,0
Daron Payne,27,WAS,RDT,17,42,22,20,5,4.0,2,0,0,0,0,0
Travis Jones,25,BAL,NT,17,42,22,20,4,1.0,0,0,0,0,0,0
Tuli Tuipulotu,22,LAC,OLB,17,42,26,16,11,8.5,2,0,0,1,0,0
Vita Vea,29,TAM,NT,16,42,27,15,10,7.0,1,0,0,0,0,0
Jalen Carter,23,PHI,LDT,16,42,25,17,12,4.5,6,0,0,2,0,0
Arden Key,28,TEN,LOLB,16,42,24,18,11,6.5,1,0,0,2,1,0
Nolan Smith,23,PHI,LOLB,16,42,21,21,8,6.5,2,0,0,1,2,0
Dante Stills,25,ARI,DT,16,42,20,22,4,4.5,1,0,0,1,0,0
Kool-Aid McKinstry,22,NOR,RCB,15,42,32,10,2,0.0,6,0,0,0,0,0
Marcus Maye,31,2TM,S,15,42,19,23,1,0.0,3,1,0,0,0,0
Trevon Diggs,26,DAL,RCB,11,42,35,7,0,0.0,11,2,0,0,0,0
Quandre Diggs,31,TEN,SS,8,42,35,7,0,0.0,0,0,0,0,0,0
Jonathan Bullard,31,MIN,RDE,17,41,21,20,7,1.0,3,0,0,0,0,0
Mazi Smith,23,DAL,RDT,17,41,22,19,4,1.0,0,0,0,0,0,0
Matt Judon,32,ATL,ROLB,17,41,25,16,7,5.5,5,1,1,0,0,0
Eric Stokes,25,GNB,RCB,17,41,29,12,0,0.0,0,0,0,0,0,0
Shaquill Griffin,29,MIN,CB,17,41,33,8,1,0.0,6,2,0,0,0,0
Oren Burks,29,PHI,LB,17,41,20,21,2,0.0,1,0,0,2,0,0
Josh Sweat,27,PHI,RLB,16,41,27,14,9,8.0,2,0,0,0,0,0
Kyle Van Noy,33,BAL,ROLB,16,41,25,16,14,12.5,2,0,0,2,1,0
LaBryan Ray,27,CAR,LDE,16,41,15,26,2,1.0,0,0,0,0,0,0
Kwity Paye,26,IND,LDE,15,41,29,12,10,8.0,1,0,0,1,0,0
Larry Ogunjobi,30,PIT,RDE,15,41,16,25,5,1.5,0,0,0,0,0,0
Sam Hubbard,29,CIN,LDE,14,41,25,16,3,2.0,2,1,0,1,0,0
Michael Danna,27,KAN,RDE,13,41,20,21,5,3.5,1,0,0,2,0,0
DaRon Bland,25,DAL,CB,7,41,29,12,0,0.0,5,0,0,1,1,0
Javon Kinlaw,27,NYJ,RDT,17,40,27,13,5,4.5,0,0,0,2,1,0
John Franklin-Myers,28,DEN,RDE,17,40,18,22,8,7.0,0,0,0,0,0,0
Darrell Baker,26,TEN,RCB,17,40,32,8,1,0.0,5,0,0,0,0,0
Anthony Nelson,27,TAM,OLB,17,40,25,15,6,4.0,1,0,0,1,1,0
Grant Stuard,26,IND,LB,17,40,25,15,2,0.0,0,0,0,0,0,0
Jarrian Jones,23,JAX,CB,17,40,30,10,1,2.0,8,1,0,0,0,0
Cole Bishop,22,BUF,S,16,40,25,15,1,0.0,2,0,0,1,0,0
Brandin Echols,27,NYJ,CB,16,40,29,11,1,0.0,3,2,0,0,1,0
Cobie Durant,26,LAR,RCB,15,40,28,12,4,1.0,8,1,0,1,0,0
Boye Mafe,26,SEA,LOLB,15,40,25,15,8,6.0,3,0,0,1,0,0
Elijah Hicks,25,CHI,FS,12,40,24,16,0,0.0,2,0,0,0,2,0
Baylon Spector,26,BUF,LB,11,40,22,18,2,1.5,0,0,0,0,1,0
Jabrill Peppers,29,NWE,S,6,40,20,20,2,0.0,2,1,0,1,0,0
Jaquan Brisker,25,CHI,DB,5,40,23,17,3,1.0,2,1,0,1,0,0
Poona Ford,29,LAC,RDT,17,39,24,15,8,3.0,5,1,0,0,0,0
A.J. Epenesa,26,BUF,LDE,17,39,23,16,8,6.0,2,0,0,2,0,0
Odafe Oweh,26,BAL,LOLB,17,39,25,14,9,10.0,0,0,0,1,0,0
Dante Fowler,30,WAS,LLB,17,39,25,14,14,10.5,1,1,1,2,0,0
Rodney McLeod,34,CLE,S,17,39,28,11,2,0.0,5,0,0,0,1,1
Khalil Mack,33,LAC,LOLB,16,39,20,19,6,6.0,9,0,0,2,1,0
Dorance Armstrong Jr.,27,WAS,RDE,16,39,20,19,7,5.0,1,0,0,2,0,0
Charles Snowden,26,LVR,LDE,16,39,18,21,3,1.5,4,0,0,0,0,0
Patrick Jones II,26,MIN,OLB,15,39,19,20,9,7.0,0,0,0,1,0,0
Chau Smith-Wade,22,CAR,CB,14,39,24,15,1,0.0,1,1,0,1,0,0
Arnold Ebiketie,25,ATL,OLB,17,38,26,12,6,6.0,2,0,0,0,1,0
Jonah Elliss,21,DEN,OLB,17,38,24,14,7,5.0,2,0,0,0,0,0
Donte Jackson,29,PIT,LCB,15,38,28,10,2,0.0,8,5,0,0,1,0
Jeremiah Ledbetter,30,JAX,DT,15,38,20,18,8,2.0,0,0,0,0,0,0
David Long,28,MIA,LILB,8,38,26,12,2,0.0,0,0,0,0,0,0
Talanoa Hufanga,25,SFO,S,7,38,20,18,2,0.0,0,0,0,0,0,0
Kenny Clark,29,GNB,RDT,17,37,20,17,4,1.0,2,0,0,0,2,0
Otito Ogbonnia,24,LAC,NT,17,37,14,23,0,0.0,0,0,0,0,0,0
Derick Hall,23,SEA,RILB,17,37,20,17,6,8.0,0,0,0,2,1,1
Dadrion Taylor-Demerson,23,ARI,S,17,37,23,14,3,0.0,5,0,0,1,0,0
Quinnen Williams,27,NYJ,NT,16,37,25,12,8,6.0,0,0,0,0,0,0
Nathan Shepherd,31,NOR,RDT,16,37,16,21,3,1.5,0,0,0,0,0,0
Chris Jones,30,KAN,LDT,15,37,19,18,9,5.0,0,0,0,1,0,0
Will Anderson,23,HOU,LDE,14,37,27,10,16,11.0,2,0,0,1,1,0
Shelby Harris,33,CLE,RDT,14,37,18,19,5,1.5,2,0,0,1,0,0
Cam Hart,24,LAC,CB,14,37,28,9,0,0.5,7,0,0,1,0,0
Josh Jobe,26,SEA,CB,10,37,29,8,0,0.0,7,1,0,0,0,0
Jerome Baker,28,SEA,LB,5,37,21,16,2,1.0,2,0,0,1,1,0
D.J. Wonnum,27,CAR,LOLB,8,37,18,19,4,4.0,1,0,0,1,0,0
Keeanu Benton,23,PIT,NT,17,36,16,20,2,1.0,6,1,0,0,1,0
Tyrel Dodson,26,MIA,LB,8,36,18,18,0,0.0,4,3,0,0,0,0
Samuel Womack,25,IND,CB,17,36,26,10,0,0.0,9,2,0,0,0,0
Isaiah McGuire,23,CLE,DE,16,36,18,18,8,2.5,0,0,0,3,0,0
Byron Murphy,22,SEA,NT,14,36,12,24,2,0.5,0,0,0,0,0,0
Jaylon Carlies,23,IND,LB,10,36,24,12,2,1.0,1,0,0,0,0,0
Za'Darius Smith,32,2TM,LDE,17,35,22,13,9,9.0,1,0,0,0,0,0
Jonah Laulu,24,LVR,DT,17,35,15,20,3,1.0,3,0,0,0,0,0
Jack Sanborn,24,CHI,LB,17,35,17,18,2,1.5,3,0,0,0,0,0
Krys Barnes,26,ARI,LB,17,35,19,16,3,2.0,0,0,0,0,0,0
George Karlaftis III,23,KAN,LDE,16,35,21,14,9,8.0,5,0,0,0,0,0
Clark Phillips,23,ATL,CB,16,35,27,8,3,0.0,5,1,0,2,1,0
Josh Hayes,25,TAM,DB,15,35,22,13,0,0.0,3,0,0,0,1,0
Ashtyn Davis,28,NYJ,S,15,35,25,10,5,0.0,2,2,0,0,0,0
Storm Duck,24,MIA,CB,14,35,24,11,1,0.0,4,0,0,0,0,0
Shaq Thompson,30,CAR,LB,4,35,19,16,2,0.0,0,0,0,0,0,0
Micheal Clemons,27,NYJ,LOLB,17,34,18,16,4,4.5,0,0,0,1,0,0
Cameron Jordan,35,NOR,LDE,17,34,18,16,7,4.0,4,1,0,0,0,0
Christian Roland-Wallace,23,KAN,CB,17,34,23,11,2,0.0,1,1,0,1,0,0
Dell Pettus,23,NWE,S,17,34,19,15,1,1.0,2,0,0,0,0,0
Marshon Lattimore,28,2TM,CB,9,34,25,9,0,0.0,5,0,0,0,0,0
Maliek Collins,29,SFO,LDT,17,33,20,13,5,5.0,0,0,0,0,2,0
Joshua Williams,25,KAN,CB,17,33,19,14,2,1.0,6,0,0,0,0,0
Devon Key,27,DEN,DB,17,33,17,16,1,1.0,0,0,0,0,0,0
Jeremiah Pharms,28,NWE,DT,16,33,16,17,4,2.0,0,0,0,0,0,0
J.J. Russell,26,TAM,LB,16,33,20,13,0,0.0,2,0,0,0,1,0
Nate Wiggins,21,BAL,CB,15,33,25,8,0,0.0,13,1,1,1,0,0
Tristin McCollum,25,PHI,S,14,33,18,15,0,0.0,2,0,0,0,0,0
Marcus Williams,28,BAL,FS,11,33,26,7,1,0.0,2,0,0,0,1,0
Preston Smith,32,2TM,LDE,17,32,12,20,5,4.5,0,0,0,0,1,0
Tavius Robinson,25,BAL,OLB,17,32,13,19,4,3.5,1,0,0,0,0,0
Chad Muma,25,JAX,LB,17,32,12,20,0,0.0,0,0,0,0,0,0
Laiatu Latu,24,IND,DE,17,32,16,16,5,4.0,1,0,0,3,1,0
Montez Sweat,28,CHI,LDE,16,32,18,14,9,5.5,2,0,0,2,0,0
Carrington Valentine,23,GNB,CB,15,32,18,14,0,0.0,5,2,0,2,0,0
K'Lavon Chaisson,25,LVR,DE,15,32,19,13,7,5.0,2,1,0,1,0,0
Lorenzo Carter,29,ATL,LOLB,13,32,23,9,2,0.0,0,0,0,1,0,0
Jaylen Watson,26,KAN,RCB,6,32,21,11,0,0.0,6,0,0,0,0,0
Troy Hill,33,CAR,CB,6,32,20,12,1,0.0,1,0,0,0,0,0
Dayo Odeyingbo,25,IND,RDE,17,31,13,18,7,3.0,0,0,0,2,1,0
Tim Settle,27,HOU,RDT,17,31,24,7,10,5.0,0,0,0,0,1,0
Josh Newton,24,CIN,RCB,17,31,27,4,1,0.0,7,1,0,0,0,0
Da'Shawn Hand,29,MIA,DT,17,31,20,11,5,1.0,1,0,0,1,1,0
Chase Young,25,NOR,DE,17,31,21,10,8,5.5,3,0,0,1,0,0
Kris Jenkins,23,CIN,LDT,15,31,10,21,3,3.0,0,0,0,0,0,0
Damontae Kazee,31,PIT,S,15,31,22,9,0,0.0,2,1,0,0,0,0
Mario Edwards,30,HOU,DT,13,31,12,19,3,3.0,2,0,0,0,2,0
Ahkello Witherspoon,29,LAR,CB,13,31,25,6,0,0.0,9,1,0,0,0,0
Alex Singleton,31,DEN,LB,3,31,17,14,1,0.0,1,1,0,0,0,0
Tedarrell Slaton,27,GNB,LDT,17,30,15,15,2,1.0,0,0,0,0,0,0
Johnathan Hankins,32,SEA,DT,17,30,15,15,5,1.0,1,1,0,0,0,0
Chris Board,29,BAL,LB,17,30,18,12,2,1.0,1,0,0,0,1,0
Anfernee Orji,24,NOR,LB,16,30,16,14,2,0.0,0,0,0,0,0,0
Darnay Holmes,26,LVR,CB,16,30,14,16,2,1.0,3,0,0,0,0,0
Marcus Maye,31,MIA,S,11,30,13,17,1,0.0,1,0,0,0,0,0
Nick Scott,29,CAR,S,10,30,16,14,0,0.0,2,0,0,0,0,0
Marshon Lattimore,28,NOR,CB,7,30,22,8,0,0.0,2,0,0,0,0,0
Eddie Jackson,31,BAL,FS,9,30,18,12,1,0.0,1,0,0,0,0,0
Chandler Wooten,25,CAR,LB,5,30,14,16,0,0.0,0,0,0,0,0,0
L.J. Collier,29,ARI,LDE,17,29,13,16,4,3.5,2,0,0,0,1,0
Tershawn Wharton,26,KAN,RDT,17,29,18,11,7,6.5,2,0,0,1,0,0
Arik Armstead,31,JAX,DE,17,29,21,8,3,2.0,3,0,0,0,0,0
Jaden Hicks,22,KAN,DB,17,29,23,6,3,0.0,5,3,0,0,0,0
Teair Tart,27,LAC,DT,17,29,15,14,5,1.0,2,1,0,1,1,0
Ty Summers,29,NYG,LB,16,29,13,16,1,0.0,1,0,0,0,0,0
Deatrich Wise Jr.,30,NWE,DE,15,29,16,13,5,5.0,3,0,0,0,0,0
Ed Oliver,27,BUF,LDT,14,29,14,15,5,3.0,0,0,0,3,0,0
DJ Turner,24,CIN,CB,11,29,24,5,1,0.0,8,0,0,0,0,0
Junior Colson,22,LAC,LB,11,29,15,14,0,0.0,1,0,0,0,0,0
Amani Oruwariye,28,DAL,CB,7,29,23,6,1,0.0,3,1,0,0,0,0
Will McDonald,25,NYJ,LDE,17,28,18,10,11,10.5,3,0,0,2,1,0
Jerry Tillery,28,MIN,LDE,17,28,13,15,1,0.0,2,0,0,1,0,0
Dre'Mont Jones,27,SEA,LB,17,28,14,14,7,4.0,1,0,0,1,0,0
Chazz Surratt,27,NYJ,ROLB,17,28,18,10,2,0.0,0,0,0,0,0,0
Bud Dupree,31,LAC,OLB,17,28,18,10,6,6.0,2,1,0,1,0,0
Roy Lopez,27,ARI,NT,16,28,10,18,4,1.0,3,0,0,1,1,0
Logan Hall,24,TAM,RDE,16,28,17,11,6,5.5,1,0,0,0,1,0
Jake Hansen,26,HOU,LB,16,28,17,11,1,1.0,0,0,0,0,0,0
Owen Pappoe,24,ARI,LB,16,28,18,10,0,0.0,2,0,0,1,0,0
Willie Gay Jr.,26,NOR,RLB,15,28,19,9,2,2.0,3,0,0,1,2,0
Adoree' Jackson,29,NYG,CB,14,28,18,10,1,0.0,5,0,0,1,1,0
Damone Clark,24,DAL,LB,14,28,16,12,1,0.5,1,0,0,0,0,0
Claudin Cherelus,26,CAR,LB,13,28,13,15,0,0.0,0,0,0,0,0,0
Levi Wallace,29,DEN,CB,13,28,20,8,0,0.0,2,0,0,0,0,0
Calijah Kancey,23,TAM,LDE,12,28,22,6,11,7.5,0,0,0,1,1,0
Kayvon Thibodeaux,24,NYG,ROLB,12,28,14,14,8,5.5,2,0,0,1,0,0
Azeez Ojulari,24,NYG,OLB,11,28,12,16,7,6.0,0,0,0,0,1,0
Tommy Togiai,25,HOU,DT,8,28,11,17,2,1.5,2,0,0,0,0,0
Jordan Davis,24,PHI,RDT,17,27,15,12,3,1.0,2,0,0,0,1,0
Felix Anudike-Uzomah,22,KAN,DE,17,27,16,11,6,2.5,0,0,0,1,1,0
Quinton Bell,28,MIA,LB,17,27,16,11,3,1.0,1,0,0,1,0,0
Tyree Wilson,24,LVR,DE,16,27,16,11,6,4.5,0,0,0,1,0,0
Greg Newsome II,24,CLE,CB,13,27,24,3,0,0.0,5,1,0,0,0,0
Naquan Jones,26,ARI,DT,12,27,11,16,4,3.0,2,0,0,0,0,0
Tony Jefferson,32,LAC,S,8,27,17,10,1,0.0,0,0,0,0,0,0
Caelen Carson,22,DAL,CB,6,27,24,3,0,0.0,4,0,0,0,0,0
Chop Robinson,21,MIA,LB,17,26,16,10,8,6.0,4,0,0,0,0,0
Dalvin Tomlinson,30,CLE,LDT,16,26,13,13,6,3.0,0,0,0,0,0,0
Derek Barnett,28,HOU,DE,16,26,15,11,4,5.0,0,0,0,2,2,2
Byron Cowart,28,CHI,DT,15,26,14,12,5,2.5,0,0,0,0,0,0
Thomas Harper,24,LVR,S,15,26,13,13,0,0.5,2,1,0,0,1,0
Isaiah Rodgers,26,PHI,CB,15,26,17,9,0,0.0,4,0,0,1,0,0
Clelin Ferrell,27,WAS,LDE,14,26,11,15,4,3.5,0,0,0,1,0,0
Kaiir Elam,23,BUF,CB,13,26,17,9,2,0.0,2,0,0,0,1,0
Tre Brown,27,SEA,CB,13,26,21,5,0,0.0,1,0,0,0,0,0
Joe Andreessen,24,BUF,LB,13,26,12,14,1,0.0,0,0,0,0,0,0
James Williams,21,TEN,LB,13,26,17,9,0,0.0,0,0,0,0,1,0
Jakorian Bennett,24,LVR,CB,10,26,15,11,0,0.0,8,0,0,0,0,0
Chidobe Awuzie,29,TEN,CB,8,26,17,9,0,0.0,4,1,0,1,0,0
Bryan Bresee,23,NOR,DT,17,25,17,8,7,7.5,3,0,0,1,0,0
Mike Pennel,33,KAN,NT,17,25,10,15,3,3.0,0,0,0,1,0,0
Ben Niemann,29,DET,LB,17,25,11,14,0,0.0,1,0,0,0,1,0
Jeremiah Trotter Jr.,22,PHI,LB,17,25,9,16,0,0.5,1,0,0,0,0,0
J.T. Gray,28,NOR,DB,17,25,12,13,0,0.0,0,0,0,1,0,0
Nick McCloud,26,2TM,CB,15,25,14,11,1,0.0,1,0,0,0,0,0
Alim McNeill,24,DET,RDT,14,25,17,8,7,3.5,1,0,0,1,0,0
Tyler Lacy,25,JAX,LDT,13,25,10,15,2,0.0,0,0,0,0,0,0
Daxton Hill,24,CIN,CB,5,25,20,5,1,1.0,2,0,0,0,0,0
Benito Jones,27,MIA,RDE,17,24,9,15,4,0.0,0,0,0,0,0,0
Milton Williams,25,PHI,DT,17,24,11,13,7,5.0,1,0,0,1,1,0
Ja'Marcus Ingram,27,BUF,CB,17,24,16,8,2,1.0,4,2,1,0,0,0
Cameron Mitchell,23,CLE,CB,17,24,16,8,1,0.0,2,0,0,0,0,0
Joe Tryon-Shoyinka,25,TAM,LOLB,15,24,15,9,3,2.0,2,0,0,1,0,0
Charles Harris,29,2TM,OLB,13,24,16,8,4,3.0,0,0,0,0,0,0
Michael Carter II,25,NYJ,CB,13,24,20,4,1,0.0,1,0,0,0,1,0
Sheldon Day,30,WAS,DT,12,24,12,12,2,0.0,1,0,0,0,0,0
Folorunso Fatukasi,29,HOU,LDT,11,24,16,8,4,1.0,0,0,0,0,0,0
Jerome Baker,28,TEN,LB,5,24,13,11,0,1.0,2,0,0,0,0,0
Tyquan Lewis,29,IND,DE,10,24,14,10,2,1.5,0,0,0,1,0,0
Za'Darius Smith,32,CLE,LDE,9,23,15,8,6,5.0,0,0,0,0,0,0
Chris Williams,26,CHI,DT,17,23,17,6,3,3.0,0,0,0,0,0,0
DaQuan Jones,33,BUF,RDT,16,23,11,12,5,2.5,1,0,0,0,0,0
Ogbonnia Okoronkwo,29,CLE,DE,16,23,15,8,5,3.0,0,0,0,1,0,0
Winston Reid,25,CLE,OLB,16,23,15,8,1,0.5,2,0,0,0,1,0
D.J. Reader,30,DET,LDT,15,23,11,12,4,3.0,1,0,0,0,0,0
James Pierre,28,PIT,CB,15,23,17,6,0,0.0,3,1,0,2,0,0
Trevor Nowaske,26,DET,LB,14,23,15,8,2,2.0,1,1,0,0,0,0
Josh Uche,26,2TM,DE,13,23,17,6,2,2.0,0,0,0,0,0,0
JD Bertrand,24,ATL,LB,12,23,16,7,1,1.0,0,0,0,0,0,0
Dondrea Tillman,26,DEN,OLB,12,23,13,10,5,5.0,0,0,0,0,0,0
Dane Jackson,28,CAR,CB,9,23,15,8,1,0.0,2,0,0,0,0,0
L'Jarius Sneed,27,TEN,CB,5,23,19,4,2,0.0,0,0,0,0,0,0
Nick Vigil,31,DAL,LB,16,22,10,12,0,0.0,0,0,0,0,0,0
Ja'Sir Taylor,25,LAC,DB,15,22,12,10,1,0.0,5,0,0,0,1,0
Joey Bosa,29,LAC,ROLB,14,22,17,5,5,5.0,0,0,0,2,0,0
Nick Herbig,23,PIT,LB,13,22,13,9,5,5.5,0,0,0,4,2,0
Zachary Carter,25,2TM,DT,12,22,10,12,0,1.5,1,0,0,0,0,0
Tre'Davious White,29,2TM,DB,11,22,16,6,0,0.0,5,0,0,0,0,0
Cam Gill,27,CAR,OLB,10,22,6,16,0,0.0,0,0,0,0,0,0
Jacoby Windmon,23,CAR,LB,8,22,13,9,1,1.5,2,0,0,0,0,0
Dennis Gardeck,30,ARI,OLB,7,22,17,5,6,3.0,2,1,0,1,0,0
Cedric Gray,22,TEN,LB,7,22,13,9,0,0.0,0,0,0,0,0,0
SirVocea Dennis,24,TAM,LB,4,22,14,8,1,1.0,0,0,0,0,0,0
Elijah Chatman,24,NYG,DT,17,21,11,10,2,1.0,0,0,0,0,1,0
Isaiah Simmons,26,NYG,S,17,21,12,9,0,0.0,2,0,0,1,0,0
Mykal Walker,27,WAS,OLB,17,21,8,13,0,0.0,0,0,0,0,2,0
Jalyx Hunt,23,PHI,OLB,16,21,12,9,1,1.5,1,0,0,2,0,0
Nick Bellore,35,WAS,LB,16,21,11,10,1,0.0,0,0,0,0,0,0
Payton Turner,25,NOR,DE,16,21,10,11,3,2.0,4,0,0,2,0,0
Broderick Washington Jr.,28,BAL,DT,15,21,9,12,1,2.0,2,0,0,1,0,0
Josh Paschal,25,DET,LDE,14,21,15,6,5,2.0,0,0,0,0,1,0
Charles Harris,29,CAR,OLB,9,21,15,6,4,3.0,0,0,0,0,0,0
Baron Browning,25,2TM,OLB,13,21,12,9,5,2.0,0,0,0,0,0,0
Nick Niemann,27,LAC,LB,13,21,11,10,0,0.0,1,0,0,0,0,0
Sione Takitaki,29,NWE,LB,11,21,7,14,0,0.0,0,0,0,0,0,0
Jesse Luketa,25,ARI,OLB,10,21,12,9,4,3.0,0,0,0,1,0,0
Cory Trice,24,PIT,CB,6,21,15,6,1,0.0,2,1,0,0,0,0
Josh Butler,28,DAL,CB,5,21,17,4,0,1.0,5,0,0,0,0,0
Taven Bryan,28,IND,DT,17,20,11,9,3,1.0,1,0,0,0,1,0
Avonte Maddox,28,PHI,CB,17,20,9,11,0,0.0,5,0,0,0,0,0
Roy Robertson-Harris,31,2TM,DT,17,20,10,10,4,2.0,1,0,0,0,0,0
Moro Ojomo,23,PHI,DT,17,20,6,14,0,0.0,0,0,0,0,0,0
Jeremy Reaves,28,WAS,S,17,20,9,11,0,0.0,0,0,0,1,0,0
Dallas Turner,21,MIN,OLB,16,20,12,8,3,3.0,1,1,0,0,0,0
Casey Toohill,28,BUF,DE,14,20,9,11,2,1.0,1,0,0,0,1,0
Myles Murphy,22,CIN,DE,13,20,11,9,1,0.0,1,0,0,0,0,0
Brandon Graham,36,PHI,DE,11,20,15,5,6,3.5,2,0,0,1,0,0
Christian Harris,23,HOU,LB,3,20,13,7,1,1.0,0,0,0,0,0,0
Preston Smith,32,GNB,LDE,9,19,6,13,2,2.5,0,0,0,0,0,0
D'Anthony Bell,28,CLE,S,17,19,10,9,1,0.0,0,0,0,0,0,0
Cam Jones,25,KAN,LB,17,19,12,7,0,0.0,0,0,0,0,0,0
Linval Joseph,36,DAL,DT,17,19,9,10,2,2.0,0,0,0,1,0,0
Israel Mukuamu,25,DAL,S,17,19,13,6,0,0.0,2,2,0,0,0,0
Jordan Elliott,27,SFO,RDT,15,19,12,7,2,0.0,0,0,0,0,0,0
Austin Johnson,30,BUF,DT,15,19,7,12,0,0.5,2,2,0,0,0,0
Neville Gallimore,27,LAR,NT,14,19,7,12,0,0.0,0,0,0,0,0,0
Terell Smith,25,CHI,DB,14,19,14,5,1,0.0,4,1,0,0,0,0
Michael Pierce,32,BAL,NT,11,19,6,13,1,2.0,2,1,0,0,0,0
Nick Thurman,29,CAR,DT,9,19,6,13,1,0.0,0,0,0,0,0,0
Jonathan Allen,29,WAS,DT,8,19,16,3,3,3.0,0,0,0,0,0,0
Devin White,26,HOU,LB,7,19,15,4,0,0.0,0,0,0,0,0,0
Marcus Epps,28,LVR,S,3,19,16,3,2,0.0,0,0,0,0,0,0
Thomas Booker,25,PHI,DT,17,18,8,10,2,1.0,1,0,0,0,0,0
Kamu Grugier-Hill,30,MIN,LB,17,18,11,7,0,0.0,3,2,0,0,0,0
Chris Braswell,23,TAM,OLB,17,18,11,7,1,1.5,0,0,0,1,0,0
Yasir Abdullah,24,JAX,LB,14,18,14,4,0,0.0,0,0,0,0,0,0
Julian Okwara,27,ARI,OLB,13,18,10,8,3,1.0,1,0,0,0,0,0
Jamin Davis,26,2TM,LB,9,18,12,6,2,1.0,0,0,0,0,0,0
Sheldon Rankins,30,CIN,DT,7,18,10,8,1,1.0,0,0,0,0,0,0
Johnathan Abram,28,NOR,S,3,18,10,8,0,0.0,2,1,0,0,0,0
Jake Hummel,25,LAR,LB,17,17,11,6,0,0.0,0,0,0,0,0,0
Amari Burney,24,LVR,LB,17,17,10,7,3,1.0,0,0,0,1,0,0
Theo Jackson,26,MIN,S,17,17,11,6,0,0.0,3,1,0,0,0,0
Isaiahh Loudermilk,27,PIT,DT,16,17,10,7,0,0.0,1,0,0,0,0,0
Marco Wilson,25,2TM,CB,16,17,10,7,0,0.0,2,0,0,0,0,0
Kaevon Merriweather,25,TAM,S,14,17,11,6,0,1.0,1,0,0,0,1,0
Otis Reese,26,TEN,LB,13,17,8,9,1,0.0,1,1,0,0,0,0
Von Miller,35,BUF,LB,13,17,13,4,7,6.0,0,0,0,0,0,0
Demetrius Flannigan-Fowles,28,SFO,LB,12,17,10,7,1,0.0,2,1,0,0,0,0
Phidarian Mathis,26,WAS,DT,12,17,8,9,2,0.0,1,0,0,0,0,0
Maason Smith,22,JAX,DT,11,17,10,7,3,3.0,3,0,0,0,0,0
Eric Johnson,26,NWE,DT,11,17,2,15,0,0.0,0,0,0,0,0,0
Caleb Farley,26,CAR,CB,9,17,11,6,0,0.0,0,0,0,0,0,0
Jaquelin Roy,24,NWE,DT,6,17,12,5,3,2.0,0,0,0,0,0,0
Christian Wilkins,29,LVR,DT,5,17,11,6,2,2.0,0,0,0,0,0,0
C.J. Mosley,32,NYJ,LB,4,17,13,4,0,0.0,0,0,0,0,0,0
Luke Masterson,26,LVR,LB,4,17,10,7,0,0.0,0,0,0,0,0,0
Eddie Goldman,30,ATL,NT,17,16,7,9,1,1.0,0,0,0,0,0,0
Kindle Vildor,27,DET,CB,17,16,10,6,0,0.0,3,0,0,0,0,0
Isaiah Foskey,24,NOR,DE,17,16,4,12,0,0.0,0,0,0,0,0,0
DeAngelo Malone,25,ATL,OLB,17,16,8,8,3,2.0,0,0,0,0,0,0
Del'Shawn Phillips,28,HOU,LB,17,16,8,8,1,0.0,0,0,0,0,0,0
Zayne Anderson,27,GNB,S,16,16,13,3,0,0.0,2,1,0,0,0,0
Dylan Horton,24,HOU,DE,13,16,6,10,1,0.0,1,0,0,0,0,0
George Odum,31,SFO,S,12,16,14,2,0,0.0,4,0,0,0,0,0
DeShawn Williams,32,CAR,DT,12,16,8,8,0,0.5,0,0,0,0,0,0
Dawuane Smoot,29,BUF,DE,11,16,12,4,5,1.5,1,0,0,2,0,0
Maurice Hurst Jr.,29,CLE,DT,8,16,9,7,4,0.5,0,0,0,0,0,0
Jaire Alexander,27,GNB,CB,7,16,15,1,0,0.0,7,2,1,0,1,0
Cam Smith,24,MIA,CB,6,16,13,3,0,0.0,0,0,0,0,0,0
Matt Milano,30,BUF,LB,4,16,7,9,1,0.0,0,0,0,0,2,0
Kelee Ringo,22,PHI,CB,17,15,12,3,0,0.0,1,0,0,1,1,0
Raekwon Davis,27,IND,DT,17,15,7,8,1,0.0,1,0,0,0,0,0
Marco Wilson,25,NWE,CB,10,15,8,7,0,0.0,1,0,0,0,0,0
Carl Lawson,29,DAL,DE,15,15,7,8,4,5.0,0,0,0,1,0,0
Jay Tufele,25,CIN,DT,13,15,5,10,1,0.5,1,0,0,0,0,0
